"filename", "language", "C++", "CMake", "Dart", "JSON", "Markdown", "HTML", "Swift", "YAML", "XML", "Properties", "comment", "blank", "total"
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\README.md", "Markdown", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 7, 17
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 22, 4, 29
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 1, 8
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 3, 39
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 1, 8
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\devtools_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 4, 13
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\PROYECTOS\FRONTGEOF\FrontGeoF\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
